"casos_teste","churnBinario","churnSimples","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente","Real"
"1000",1,0.75,0.9,0.9333333333,0.9679413967,0.75,1.0
"0100",1,0.75,0.8,0.8666666667,0.9128556813,0.6666666666666667,1.0
"0010",1,0.75,0.7,0.7333333333,0.7631171819,0.5,0.0
"0001",1,0.75,0.6,0.4666666667,0.3560857401,0.0,0.0
"1100",0,0.5,0.7,0.8,0.880797078,0.5,1.0
"0011",0,0.5,0.3,0.2,0.119202922,0.0,0.0
"0110",0,0.5,0.5,0.6,0.6759728632,0.33333333333333337,0.0
"1001",0,0.5,0.5,0.4,0.3240271368,0.5,0.0
"1010",0,0.5,0.6,0.6666666667,0.7310585786,0.5,0.0
"0101",0,0.5,0.4,0.3333333333,0.2689414214,0.33333333333333337,0.0
"0111",0,0.25,0.1,0.0666666667,0.0320586033,0.0,0.0
"1011",0,0.25,0.2,0.1333333333,0.0871443187,0.25,0.0
"1101",0,0.25,0.3,0.2666666667,0.2368828181,0.25,0.0
"1110",0,0.25,0.4,0.5333333333,0.6439142599,0.25,0.0
"1111",0,0.0,0.0,0.0,0.0,0.0,0.0
"0000",1,1.0,1.0,1.0,1.0,1.0,1.0
